통화,평균가,최저가,최고가
"미국 USD",1200.77,1103.98,1302.4
"일본 JPY (100)",1124.78,1060.11,1193.34
"유로 EUR",1372.81,1308.01,1447.94
"중국 CNY",179.45,174.34,187.95
"홍콩 HKD",155.15,142.72,168.13
"태국 THB",39.59,37.72,41.19
"대만 TWD",45.3,43.45,47.5
"필리핀 PHP",26.16,24.79,27.3
"싱가포르 SGD",872.33,828.21,899.91
"호주 AUD",829.76,745.48,892.07
"베트남 VND (100)",5.67,5.24,6.11
"영국 GBP",1543.58,1469.67,1625.65
"캐나다 CAD",897.27,860.94,934.1
"말레이시아 MYR",298.52,283.37,309.84
"러시아 RUB",17.54,15.08,20.27
"남아공화국 ZAR",76.31,68.41,87.74
"노르웨이 NOK",128.72,111.15,139.4
"뉴질랜드 NZD",781.73,731.2,818.15
"덴마크 DKK",184.99,175.87,195.4
"멕시코 MXN",60.65,53.77,70.92
"몽골 MNT",0,0,0
"바레인 BHD",3329.01,3061.69,3605.82
"방글라데시 BDT",0,0,0
"브라질 BRL",254.81,216.33,319.63
"브루나이 BND",889.31,844.54,917.65
"사우디아라비아 SAR",334.29,307.45,362.5
"스리랑카 LKR",0,0,0
"스웨덴 SEK",131.55,123.67,140.86
"스위스 CHF",1282.35,1212.46,1337.43
"아랍에미리트공화국 AED",338.95,311.63,367.63
"알제리 DZD",0,0,0
"오만 OMR",3338.84,3071.82,3621.51
"요르단 JOD",1812.52,1666.51,1966.03
"이스라엘 ILS",377.24,355.91,390.43
"이집트 EGP",0,0,0
"인도 INR",0,0,0
"인도네시아 IDR (100)",8.73,7.99,9.43
"체코 CZK",55.21,52.14,58.79
"칠레 CLP",1.61,1.53,1.7
"카자흐스탄 KZT",0,0,0
"카타르 QAR",0,0,0
"케냐 KES",0,0,0
"콜롬비아 COP",0,0,0
"쿠웨이트 KWD",4097.09,3791.09,4377.78
"탄자니아 TZS",0,0,0
"튀르키예 TRY",0,0,0
"파키스탄 PKR",0,0,0
"폴란드 PLN",327.16,309.86,348.88
"헝가리 HUF",4.19,3.93,4.48
